inventory_id;film_id;store_id;category_id
1;1;1;6
2;1;1;6
3;1;1;6
4;1;1;6
5;1;2;6
6;1;2;6
7;1;2;6
8;1;2;6
9;2;2;11
10;2;2;11
11;2;2;11
12;3;2;6
13;3;2;6
14;3;2;6
15;3;2;6
16;4;1;11
17;4;1;11
18;4;1;11
19;4;1;11
20;4;2;11
21;4;2;11
22;4;2;11
23;5;2;8
24;5;2;8
25;5;2;8
26;6;1;9
27;6;1;9
28;6;1;9
29;6;2;9
30;6;2;9
31;6;2;9
32;7;1;5
33;7;1;5
34;7;2;5
35;7;2;5
36;7;2;5
37;8;2;11
38;8;2;11
39;8;2;11
40;8;2;11
41;9;1;11
42;9;1;11
43;9;1;11
44;9;2;11
45;9;2;11
46;10;1;15
47;10;1;15
48;10;1;15
49;10;1;15
50;10;2;15
51;10;2;15
52;10;2;15
53;11;1;9
54;11;1;9
55;11;1;9
56;11;1;9
57;11;2;9
58;11;2;9
59;11;2;9
60;12;1;12
61;12;1;12
62;12;1;12
63;12;2;12
64;12;2;12
65;12;2;12
66;12;2;12
67;13;2;11
68;13;2;11
69;13;2;11
70;13;2;11
71;15;1;9
72;15;1;9
73;15;2;9
74;15;2;9
75;15;2;9
76;15;2;9
77;16;1;9
78;16;1;9
79;16;2;9
80;16;2;9
81;17;1;12
82;17;1;12
83;17;1;12
84;17;2;12
85;17;2;12
86;17;2;12
87;18;1;2
88;18;1;2
89;18;1;2
90;18;2;2
91;18;2;2
92;18;2;2
93;19;1;1
94;19;1;1
95;19;1;1
96;19;1;1
97;19;2;1
98;19;2;1
99;20;1;12
100;20;1;12
101;20;1;12
102;21;1;1
103;21;1;1
104;21;2;1
105;21;2;1
106;21;2;1
107;21;2;1
108;22;1;13
109;22;1;13
110;22;1;13
111;22;1;13
112;22;2;13
113;22;2;13
114;22;2;13
115;23;1;2
116;23;1;2
117;23;1;2
118;23;2;2
119;23;2;2
120;24;1;11
121;24;1;11
122;24;1;11
123;24;1;11
124;25;1;13
125;25;1;13
126;25;1;13
127;25;1;13
128;25;2;13
129;25;2;13
130;26;1;14
131;26;1;14
132;26;2;14
133;26;2;14
134;26;2;14
135;27;1;15
136;27;1;15
137;27;1;15
138;27;1;15
139;28;1;5
140;28;1;5
141;28;1;5
142;29;1;1
143;29;1;1
144;30;1;11
145;30;1;11
146;31;1;8
147;31;1;8
148;31;1;8
149;31;1;8
150;31;2;8
151;31;2;8
152;31;2;8
153;31;2;8
154;32;2;13
155;32;2;13
156;34;2;11
157;34;2;11
158;34;2;11
159;34;2;11
160;35;1;11
161;35;1;11
162;35;1;11
163;35;1;11
164;35;2;11
165;35;2;11
166;35;2;11
167;37;1;4
168;37;1;4
169;37;1;4
170;37;1;4
171;37;2;4
172;37;2;4
173;37;2;4
174;39;1;14
175;39;1;14
176;39;1;14
177;39;2;14
178;39;2;14
179;39;2;14
180;39;2;14
181;40;2;6
182;40;2;6
183;40;2;6
184;40;2;6
185;42;2;15
186;42;2;15
187;42;2;15
188;42;2;15
189;43;1;8
190;43;1;8
191;43;1;8
192;43;2;8
193;43;2;8
194;43;2;8
195;43;2;8
196;44;1;14
197;44;1;14
198;44;2;14
199;44;2;14
200;44;2;14
201;45;1;13
202;45;1;13
203;45;1;13
204;45;1;13
205;45;2;13
206;45;2;13
207;46;2;10
208;46;2;10
209;46;2;10
210;47;2;9
211;47;2;9
212;48;1;3
213;48;1;3
214;48;2;3
215;48;2;3
216;49;1;14
217;49;1;14
218;49;1;14
219;49;2;14
220;49;2;14
221;49;2;14
222;50;1;8
223;50;1;8
224;50;1;8
225;50;2;8
226;50;2;8
227;51;1;12
228;51;1;12
229;51;2;12
230;51;2;12
231;51;2;12
232;51;2;12
233;52;2;9
234;52;2;9
235;53;1;8
236;53;1;8
237;54;1;12
238;54;1;12
239;54;1;12
240;54;2;12
241;54;2;12
242;55;1;14
243;55;1;14
244;55;1;14
245;55;1;14
246;55;2;14
247;55;2;14
248;56;1;1
249;56;1;1
250;56;1;1
251;56;2;1
252;56;2;1
253;57;1;16
254;57;1;16
255;57;1;16
256;57;1;16
257;57;2;16
258;57;2;16
259;57;2;16
260;58;2;6
261;58;2;6
262;58;2;6
263;58;2;6
264;59;1;3
265;59;1;3
266;59;1;3
267;59;2;3
268;59;2;3
269;60;1;4
270;60;1;4
271;60;1;4
272;61;1;7
273;61;1;7
274;61;1;7
275;61;1;7
276;61;2;7
277;61;2;7
278;62;2;6
279;62;2;6
280;63;1;8
281;63;1;8
282;63;2;8
283;63;2;8
284;64;2;7
285;64;2;7
286;64;2;7
287;65;2;11
288;65;2;11
289;65;2;11
290;65;2;11
291;66;1;3
292;66;1;3
293;66;1;3
294;67;1;1
295;67;1;1
296;67;2;1
297;67;2;1
298;67;2;1
299;67;2;1
300;68;1;3
301;68;1;3
302;68;2;3
303;68;2;3
304;69;1;14
305;69;1;14
306;69;1;14
307;69;1;14
308;69;2;14
309;69;2;14
310;69;2;14
311;69;2;14
312;70;1;2
313;70;1;2
314;70;2;2
315;70;2;2
316;71;2;8
317;71;2;8
318;71;2;8
319;71;2;8
320;72;1;6
321;72;1;6
322;72;1;6
323;72;1;6
324;72;2;6
325;72;2;6
326;73;1;14
327;73;1;14
328;73;1;14
329;73;1;14
330;73;2;14
331;73;2;14
332;73;2;14
333;73;2;14
334;74;1;12
335;74;1;12
336;74;1;12
337;74;2;12
338;74;2;12
339;75;2;16
340;75;2;16
341;75;2;16
342;76;1;12
343;76;1;12
344;76;1;12
345;77;1;13
346;77;1;13
347;77;1;13
348;77;1;13
349;77;2;13
350;77;2;13
351;78;1;2
352;78;1;2
353;78;1;2
354;78;2;2
355;78;2;2
356;78;2;2
357;78;2;2
358;79;1;7
359;79;1;7
360;79;1;7
361;79;2;7
362;79;2;7
363;79;2;7
364;80;1;8
365;80;1;8
366;80;1;8
367;80;1;8
368;81;1;14
369;81;1;14
370;81;1;14
371;81;1;14
372;82;1;8
373;82;1;8
374;83;1;8
375;83;1;8
376;83;1;8
377;83;2;8
378;83;2;8
379;84;1;16
380;84;1;16
381;84;1;16
382;84;1;16
383;85;2;6
384;85;2;6
385;85;2;6
386;85;2;6
387;86;1;12
388;86;1;12
389;86;1;12
390;86;1;12
391;86;2;12
392;86;2;12
393;86;2;12
394;86;2;12
395;88;2;16
396;88;2;16
397;88;2;16
398;88;2;16
399;89;1;2
400;89;1;2
401;89;1;2
402;89;2;2
403;89;2;2
404;89;2;2
405;90;1;13
406;90;1;13
407;90;1;13
408;90;2;13
409;90;2;13
410;90;2;13
411;91;1;4
412;91;1;4
413;91;1;4
414;91;1;4
415;91;2;4
416;91;2;4
417;91;2;4
418;91;2;4
419;92;1;11
420;92;1;11
421;92;2;11
422;92;2;11
423;93;2;13
424;93;2;13
425;93;2;13
426;94;1;8
427;94;1;8
428;95;1;13
429;95;1;13
430;95;2;13
431;95;2;13
432;95;2;13
433;96;1;13
434;96;1;13
435;96;1;13
436;97;1;1
437;97;1;1
438;97;1;1
439;97;1;1
440;97;2;1
441;97;2;1
442;98;1;7
443;98;1;7
444;98;1;7
445;99;1;5
446;99;1;5
447;99;1;5
448;99;2;5
449;99;2;5
450;99;2;5
451;100;1;9
452;100;1;9
453;100;1;9
454;100;1;9
455;100;2;9
456;100;2;9
457;101;1;6
458;101;1;6
459;101;1;6
460;101;1;6
461;101;2;6
462;101;2;6
463;102;2;15
464;102;2;15
465;103;1;16
466;103;1;16
467;103;1;16
468;103;1;16
469;103;2;16
470;103;2;16
471;103;2;16
472;103;2;16
473;104;2;9
474;104;2;9
475;104;2;9
476;105;1;1
477;105;1;1
478;105;2;1
479;105;2;1
480;105;2;1
481;106;1;10
482;106;1;10
483;107;2;7
484;107;2;7
485;109;1;13
486;109;1;13
487;109;1;13
488;109;1;13
489;109;2;13
490;109;2;13
491;109;2;13
492;109;2;13
493;110;1;3
494;110;1;3
495;110;1;3
496;110;1;3
497;111;2;1
498;111;2;1
499;111;2;1
500;111;2;1
501;112;1;9
502;112;1;9
503;112;1;9
504;112;1;9
505;112;2;9
506;112;2;9
507;112;2;9
508;113;2;15
509;113;2;15
510;113;2;15
511;113;2;15
512;114;1;14
513;114;1;14
514;114;1;14
515;114;1;14
516;114;2;14
517;114;2;14
518;114;2;14
519;115;1;1
520;115;1;1
521;115;1;1
